,city_name_from_gosuslugi,number_of_votes_ucn2025
0,"м.р-н Тасеевский, с.п. Сивохинский сельсовет, д Корсаково",110
1,"м.р-н Казачинский, с.п. Момотовский сельсовет, д Пискуновка",102
2,"м.р-н Сухобузимский, с.п. Нахвальский сельсовет, с Малое Нахвальское",84
3,"м.о. Тюхтетский, д Пасечное",73
4,"м.р-н Тасеевский, с.п. Троицкий сельсовет, п Лужки",73
5,"м.р-н Курагинский, г.п. поселок Большая Ирба, с Поначево",44
6,"м.р-н Боготольский, с.п. Боготольский сельсовет, д Владимировка",34
7,"м.р-н Ирбейский, с.п. Благовещенский сельсовет, д Стрелка",34
8,"м.р-н Дзержинский, с.п. Денисовский сельсовет, д Колон",31
9,"м.р-н Манский, с.п. Кияйский сельсовет, д Покосное",28
10,"м.р-н Курагинский, с.п. Кордовский сельсовет, п Журавлево",23
11,"м.р-н Шушенский, с.п. Сизинский сельсовет, д Голубая",23
12,"м.р-н Рыбинский, с.п. Александровский сельсовет, д Новая Печера",22
13,"м.р-н Саянский, с.п. Кулижниковский сельсовет, с Кулижниково",21
14,"м.р-н Канский, с.п. Большеуринский сельсовет, д Малая Уря",20
15,"м.р-н Сухобузимский, с.п. Шилинский сельсовет, д Шошкино",18
16,"м.р-н Боготольский, с.п. Боготольский сельсовет, п Орга",16
17,"м.о. Шарыповский, д Можары",14
18,"м.р-н Тасеевский, с.п. Суховский сельсовет, с Караульное",14
19,"м.р-н Сухобузимский, с.п. Нахвальский сельсовет, д Берег Таскино",10
20,"м.р-н Сухобузимский, с.п. Шилинский сельсовет, с Новотроицкое",10
21,"м.р-н Енисейский, с.п. Майский сельсовет, п Майское",9
22,"м.р-н Боготольский, с.п. Краснозаводской сельсовет, д Красная Речка",7
23,"м.р-н Боготольский, с.п. Юрьевский сельсовет, д Георгиевка",6
24,"м.р-н Сухобузимский, с.п. Нахвальский сельсовет, с Нахвальское",6
25,"м.о. Тюхтетский, п Сплавной",4
26,"м.р-н Богучанский, с.п. Таежнинский сельсовет, с Карабула",4
27,"м.р-н Большеулуйский, с.п. Новоникольский сельсовет, д Новоникольск",4
28,"м.р-н Енисейский, с.п. Новоназимовский сельсовет, д Назимово",4
29,"м.р-н Нижнеингашский, с.п. Касьяновский сельсовет, д Касьяново",4
30,"м.р-н Сухобузимский, с.п. Миндерлинский сельсовет, с Иркутское",4
31,"м.о. Тюхтетский, с Чиндат",3
32,"м.р-н Большеулуйский, с.п. Сучковский сельсовет, с Сучково",3
33,"м.р-н Казачинский, с.п. Дудовский сельсовет, с Дудовка",3
34,"м.р-н Каратузский, с.п. Черемушинский сельсовет, д Шалагино",3
35,"м.р-н Манский, с.п. Каменский сельсовет, с Тертеж",3
36,"м.р-н Минусинский, с.п. Селиванихинский сельсовет, д Солдатово",3
37,"м.р-н Сухобузимский, с.п. Шилинский сельсовет, д Ковригино",3
38,"г.о. город Дивногорск, п Верхняя Бирюса",2
39,"м.о. Шарыповский, с Шушь",2
40,"м.р-н Емельяновский, г.п. поселок Емельяново, д Мужичкино",2
41,"м.р-н Енисейский, с.п. Ярцевский сельсовет, д Фомка",2
42,"м.р-н Казачинский, с.п. Отношенский сельсовет, с Отношка",2
43,"м.р-н Кежемский, с.п. Заледеевский сельсовет, д Климино",2
44,"м.р-н Манский, с.п. Орешенский сельсовет, п Орешное",2
45,"м.р-н Рыбинский, с.п. Большеключинский сельсовет, с Большие Ключи",2
46,"м.р-н Рыбинский, с.п. Бородинский сельсовет, д Верховая",2
47,"м.р-н Сухобузимский, с.п. Атамановский сельсовет, п Большие Пруды",2
48,"м.р-н Сухобузимский, с.п. Высотинский сельсовет, с Абакшино",2
49,"м.р-н Сухобузимский, с.п. Высотинский сельсовет, с Кекур",2
50,"м.р-н Сухобузимский, с.п. Кононовский сельсовет, с Хлоптуново",2
51,"м.р-н Сухобузимский, с.п. Подсопочный сельсовет, с Подсопки",2
52,"м.р-н Сухобузимский, с.п. Сухобузимский сельсовет, п Бузим",2
53,"м.р-н Таймырский Долгано-Ненецкий, г.п. Диксон, пгт Диксон",2
54,"м.р-н Тасеевский, с.п. Троицкий сельсовет, с Троицк",2
55,"м.р-н Туруханский, межсел.тер. Межселенная территория Туруханского муниципального района, включающая п Ангутиха, с Бакланиха, п Бахта и др., с Фарково",2
56,"м.р-н Туруханский, с.п. Верхнеимбатский сельсовет, с Верхнеимбатск",2
